epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.48801,2.0657,4.36334,2.21141,0.02211,0.63898,0.21865,0.12369,1.6922,4.19403,2.08835,0.00014,0.00014,0.00014
2,15.566,1.82103,3.67733,1.91538,0.0271,0.77755,0.22935,0.1231,1.6677,3.72299,1.9734,0.000285215,0.000285215,0.000285215
3,22.2209,1.8203,3.11219,1.85653,0.74142,0.26771,0.33494,0.15626,1.78197,3.17525,1.97973,0.00042548,0.00042548,0.00042548
4,29.0246,1.73092,2.76739,1.72652,0.47448,0.28988,0.28675,0.11348,1.91759,3.05284,2.13334,0.000560795,0.000560795,0.000560795
5,36.4168,1.72585,2.75135,1.76946,0.64672,0.3734,0.42492,0.18408,2.03081,2.59007,2.21541,0.00069116,0.00069116,0.00069116
6,45.2759,1.75424,2.64001,1.77281,0.77721,0.21875,0.25025,0.13147,1.99076,2.61307,2.27859,0.000816575,0.000816575,0.000816575
7,52.2236,1.77299,2.55919,1.80902,0.32525,0.47821,0.35069,0.15474,2.03198,2.53841,2.43084,0.000901,0.000901,0.000901
8,58.1802,1.73202,2.40669,1.80006,0.23067,0.1514,0.13316,0.03264,2.46839,3.68263,3.09483,0.0008845,0.0008845,0.0008845
9,64.305,1.6922,2.31641,1.7017,0.40456,0.28783,0.28332,0.10395,2.38276,3.11333,2.78736,0.000868,0.000868,0.000868
10,70.4685,1.72388,2.34161,1.75543,0.71568,0.39439,0.43386,0.25679,1.91373,2.32842,2.14046,0.0008515,0.0008515,0.0008515
11,76.3989,1.67099,2.28143,1.6928,0.50077,0.50535,0.37963,0.17198,1.94664,3.70736,2.19532,0.000835,0.000835,0.000835
12,82.2791,1.63315,2.22522,1.68479,0.76769,0.45481,0.55857,0.23445,1.8893,2.19071,2.08912,0.0008185,0.0008185,0.0008185
13,88.1063,1.65564,2.15506,1.68023,0.36385,0.44901,0.43837,0.18441,2.06053,2.21734,2.16711,0.000802,0.000802,0.000802
14,93.8769,1.58983,2.10049,1.64324,0.3307,0.56209,0.37348,0.18164,1.90875,2.13122,2.1981,0.0007855,0.0007855,0.0007855
15,99.6361,1.62176,2.08024,1.64392,0.54967,0.55305,0.58006,0.29301,1.68776,2.04871,1.95531,0.000769,0.000769,0.000769
16,105.388,1.56198,2.10869,1.65627,0.51041,0.52489,0.54541,0.29267,1.71069,1.86894,1.9402,0.0007525,0.0007525,0.0007525
17,111.146,1.58725,1.9959,1.64562,0.46717,0.64309,0.6133,0.35799,1.70761,1.79924,1.91906,0.000736,0.000736,0.000736
18,116.931,1.60308,1.95441,1.67476,0.67634,0.61184,0.59499,0.31129,1.736,1.69467,1.95046,0.0007195,0.0007195,0.0007195
19,122.751,1.55939,1.90484,1.61957,0.76957,0.46464,0.5976,0.29757,1.82841,1.76107,2.05777,0.000703,0.000703,0.000703
20,128.581,1.60688,1.89852,1.65456,0.7307,0.43133,0.58709,0.29607,1.7307,1.69645,1.90671,0.0006865,0.0006865,0.0006865
21,134.37,1.44474,1.79785,1.55426,0.58305,0.61691,0.63335,0.33199,1.74536,1.661,1.88319,0.00067,0.00067,0.00067
22,140.164,1.49624,1.79435,1.54859,0.69134,0.62528,0.6655,0.33906,1.69832,1.42323,1.84968,0.0006535,0.0006535,0.0006535
23,145.922,1.48285,1.71049,1.54772,0.69212,0.66969,0.6864,0.38121,1.73709,1.42565,1.90703,0.000637,0.000637,0.000637
24,151.735,1.46885,1.65508,1.53995,0.73591,0.58635,0.63047,0.34453,1.81417,1.48775,1.92639,0.0006205,0.0006205,0.0006205
25,157.518,1.48417,1.70453,1.57408,0.60106,0.53084,0.56466,0.27366,1.94044,1.65728,2.00119,0.000604,0.000604,0.000604
26,163.366,1.44589,1.69167,1.53416,0.77237,0.58571,0.71418,0.38359,1.73666,1.46093,1.89201,0.0005875,0.0005875,0.0005875
27,169.175,1.39989,1.5878,1.47206,0.8054,0.55536,0.67857,0.37395,1.69072,1.42279,1.86979,0.000571,0.000571,0.000571
28,174.942,1.48878,1.61142,1.55491,0.66422,0.73327,0.75125,0.42594,1.58601,1.37205,1.83187,0.0005545,0.0005545,0.0005545
29,180.68,1.47193,1.59436,1.53979,0.68194,0.74054,0.78713,0.4129,1.53583,1.42866,1.75813,0.000538,0.000538,0.000538
30,186.436,1.40946,1.54837,1.4997,0.76931,0.75411,0.78478,0.41081,1.61149,1.41723,1.79738,0.0005215,0.0005215,0.0005215
31,192.163,1.48885,1.66004,1.54106,0.73211,0.65378,0.70548,0.35316,1.60047,1.54527,1.81301,0.000505,0.000505,0.000505
32,197.923,1.3823,1.55023,1.47414,0.5727,0.73766,0.65412,0.35292,1.61653,1.60121,1.83153,0.0004885,0.0004885,0.0004885
33,203.68,1.41143,1.55606,1.51008,0.76,0.7278,0.7739,0.40291,1.58875,1.49761,1.80051,0.000472,0.000472,0.000472
34,209.39,1.41251,1.54306,1.47161,0.89818,0.65173,0.77282,0.38658,1.60613,1.56189,1.79546,0.0004555,0.0004555,0.0004555
35,215.172,1.36477,1.45201,1.45667,0.88124,0.64768,0.79186,0.44769,1.55099,1.35908,1.75785,0.000439,0.000439,0.000439
36,220.982,1.35473,1.41813,1.46059,0.78194,0.79977,0.81688,0.47142,1.56471,1.22247,1.74041,0.0004225,0.0004225,0.0004225
37,226.707,1.34824,1.39367,1.46368,0.885,0.77649,0.83771,0.46745,1.52803,1.22551,1.723,0.000406,0.000406,0.000406
38,232.481,1.3629,1.43541,1.46461,0.87232,0.77182,0.8393,0.45173,1.53585,1.19576,1.71355,0.0003895,0.0003895,0.0003895
39,238.239,1.29607,1.38889,1.41641,0.85514,0.74054,0.81351,0.42475,1.54381,1.19033,1.72589,0.000373,0.000373,0.000373
40,244.02,1.28038,1.362,1.39186,0.79104,0.7251,0.78602,0.4244,1.52829,1.18454,1.70836,0.0003565,0.0003565,0.0003565
41,249.734,1.28149,1.34785,1.40177,0.75682,0.80387,0.8297,0.4741,1.48966,1.10177,1.69799,0.00034,0.00034,0.00034
42,255.475,1.21728,1.30098,1.39668,0.85752,0.79831,0.84907,0.46802,1.50694,1.1354,1.74707,0.0003235,0.0003235,0.0003235
43,261.302,1.26159,1.30604,1.39558,0.77589,0.81116,0.83458,0.47495,1.45099,1.10039,1.72213,0.000307,0.000307,0.000307
44,267.113,1.22242,1.2744,1.3623,0.81388,0.85074,0.85161,0.46585,1.53198,1.1109,1.79358,0.0002905,0.0002905,0.0002905
45,273.016,1.22671,1.22031,1.37968,0.79673,0.81949,0.86247,0.44596,1.52634,1.10376,1.81245,0.000274,0.000274,0.000274
46,278.77,1.24226,1.22518,1.37642,0.82854,0.75956,0.83699,0.44281,1.53909,1.11719,1.80294,0.0002575,0.0002575,0.0002575
47,284.547,1.23334,1.27739,1.37301,0.75985,0.7621,0.79807,0.45005,1.48045,1.12731,1.72987,0.000241,0.000241,0.000241
48,290.335,1.229,1.23349,1.379,0.92106,0.71524,0.83847,0.46188,1.49029,1.1214,1.76221,0.0002245,0.0002245,0.0002245
49,296.103,1.2243,1.25776,1.35742,0.82659,0.74342,0.81221,0.45466,1.48907,1.14415,1.7452,0.000208,0.000208,0.000208
50,301.89,1.21351,1.24278,1.37219,0.85592,0.79644,0.85391,0.4818,1.47991,1.1125,1.72891,0.0001915,0.0001915,0.0001915
51,328.085,1.17921,1.21832,1.39401,0.90998,0.82148,0.88215,0.50067,1.48192,1.08534,1.70732,0.000175,0.000175,0.000175
52,333.922,1.13724,1.17296,1.37442,0.87078,0.83822,0.8743,0.4867,1.44118,1.08118,1.6934,0.0001585,0.0001585,0.0001585
53,339.657,1.08809,1.13738,1.38727,0.81869,0.76447,0.83553,0.48389,1.43093,1.12748,1.69066,0.000142,0.000142,0.000142
54,345.333,1.05827,1.07556,1.32562,0.86003,0.76192,0.86699,0.48818,1.45141,1.11598,1.69831,0.0001255,0.0001255,0.0001255
55,351.84,1.06066,1.06811,1.32495,0.92854,0.79673,0.8698,0.48103,1.43103,1.07036,1.67867,0.000109,0.000109,0.000109
56,357.57,1.03172,1.05218,1.2998,0.92681,0.7994,0.87955,0.49888,1.44492,1.03629,1.69118,9.25e-05,9.25e-05,9.25e-05
57,363.222,1.00984,1.00453,1.2703,0.93815,0.80395,0.87661,0.48727,1.45014,1.03473,1.71222,7.6e-05,7.6e-05,7.6e-05
58,368.908,0.97159,1.05094,1.26703,0.89379,0.77755,0.86759,0.48033,1.44309,1.0531,1.71319,5.95e-05,5.95e-05,5.95e-05
59,374.627,1.03423,1.0376,1.32813,0.89183,0.77247,0.8676,0.49193,1.43804,1.05312,1.71148,4.3e-05,4.3e-05,4.3e-05
60,380.391,1.01345,1.00663,1.30017,0.92167,0.76698,0.86985,0.49261,1.43125,1.05092,1.70794,2.65e-05,2.65e-05,2.65e-05
